publisher_name,iati_organisation_identifier,organisation_type,country
Australia - Department of  Foreign Affairs and Trade,AU-5,Government,Australia
The World Bank,44000,Multilateral,(No country assigned)
The William and Flora Hewlett Foundation,US-EIN-941655673,Foundation,United States
United Nations Office for Project Services (UNOPS),41AAA,Multilateral,(No country assigned)
Frontline AIDS,GB-CHC-1038860,International NGO,United Kingdom
European Commission - International Partnerships,XI-IATI-EC_INTPA,Other Public Sector,(No country assigned)
"Sweden, through Swedish International Development Cooperation Agency (Sida)",SE-0,Government,Sweden
Engineers Without Borders Canada,CA-CRA-89980-1815-RR0001,International NGO,Canada
United Nations Development Programme (UNDP),XM-DAC-41114,Multilateral,(No country assigned)
Indigo Trust,GB-CHC-1075920,Foundation,United Kingdom
Oxfam GB,GB-CHC-202918,International NGO,United Kingdom
Finland - Ministry for Foreign Affairs,FI-3,Government,Finland
Self Help Africa,IE-CHY-6663,International NGO,Ireland
"The Global Fund to Fight AIDS, Tuberculosis and Malaria",47045,Multilateral,Switzerland
Asian Development Bank,XM-DAC-46004,Multilateral,(No country assigned)
Publish What You Fund,GB-COH-07676886,International NGO,United Kingdom
Norwegian Refugee Council,NO-BRC-977538319,International NGO,Norway
SPARK,NL-KVK-41213450,International NGO,Netherlands
"Denmark - Ministry of Foreign Affairs, Danida",XM-DAC-3-1,Government,Denmark
Catholic Agency For Overseas Development (CAFOD),GB-CHC-285776,International NGO,United Kingdom
"Gavi, the vaccine alliance",47122,Public Private Partnership,Switzerland
GlobalGiving.org,US-EIN-300108263,International NGO,United States
Camfed International,GB-CHC-1029161,International NGO,United Kingdom
All We Can (formerly Methodist Relief and Development Fund),GB-CHC-291691,International NGO,United Kingdom
Article19,GB-CHC-327421,International NGO,United Kingdom
ChildHope UK,GB-CHC-328434,International NGO,United Kingdom
Concern Worldwide UK,GB-CHC-1092236,International NGO,United Kingdom
LEAD International,GB-COH-4075590,International NGO,United Kingdom
Transparency International Secretariat,XM-DAC-21033,International NGO,Germany
AfriKids,GB-CHC-1141028,International NGO,United Kingdom
EveryChild,GB-CHC-1089879,International NGO,United Kingdom
MapAction,GB-CHC-1126727,International NGO,United Kingdom
The International Children's Trust,GB-CHC-254781,International NGO,United Kingdom
Trocaire (Northern Ireland),GB-COH-NI21482,International NGO,United Kingdom
Interact Worldwide,GB-CHC-1001698,International NGO,United Kingdom
Health Poverty Action,GB-CHC-1837621,International NGO,United Kingdom
