id,name,state_name,state_id,wikidataid
1,Juba,Central Equatoria,1,ID00000
2,Kajo-keji,Central Equatoria,1,ID00001
3,Lainya,Central Equatoria,1,ID00002
4,Morobo,Central Equatoria,1,ID00003
5,Terekeka,Central Equatoria,1,ID00004
6,Yei,Central Equatoria,1,ID00005
7,Budi,Eastern Equatoria,2,ID00006
8,Ikotos,Eastern Equatoria,2,ID00007
9,Kapoeta East,Eastern Equatoria,2,ID00008
10,Kapoeta North,Eastern Equatoria,2,ID00009
11,Kapoeta South,Eastern Equatoria,2,ID00010
12,Lafon,Eastern Equatoria,2,ID00011
13,Magwi,Eastern Equatoria,2,ID00012
14,Torit,Eastern Equatoria,2,ID00013
15,Akobo,Jonglei,3,ID00014
16,Ayod,Jonglei,3,ID00015
17,Bor South,Jonglei,3,ID00016
18,Canal/Pigi,Jonglei,3,ID00017
19,Duk,Jonglei,3,ID00018
20,Fangak,Jonglei,3,ID00019
21,Nyirol,Jonglei,3,ID00020
22,Pibor,Jonglei,3,ID00021
23,Pochalla,Jonglei,3,ID00022
24,Twic East,Jonglei,3,ID00023
25,Uror,Jonglei,3,ID00024
26,Awerial,Lakes,4,ID00025
27,Cueibet,Lakes,4,ID00026
28,Rumbek Centre,Lakes,4,ID00027
29,Rumbek East,Lakes,4,ID00028
30,Rumbek North,Lakes,4,ID00029
31,Wulu,Lakes,4,ID00030
32,Yirol East,Lakes,4,ID00031
33,Yirol West,Lakes,4,ID00032
34,Aweil Centre,Northern Bahr el Ghazal,5,ID00033
35,Aweil East,Northern Bahr el Ghazal,5,ID00034
36,Aweil North,Northern Bahr el Ghazal,5,ID00035
37,Aweil South,Northern Bahr el Ghazal,5,ID00036
38,Aweil West,Northern Bahr el Ghazal,5,ID00037
39,Abiemnhom,Unity,5,ID00038
40,Guit,Unity,5,ID00039
41,Koch,Unity,5,ID00040
42,Leer,Unity,5,ID00041
43,Mayendit,Unity,5,ID00042
44,Mayom,Unity,5,ID00043
45,Panyijiar,Unity,5,ID00044
46,Pariang,Unity,5,ID00045
47,Rubkona,Unity,6,ID00046
48,Baliet,Upper Nile,7,ID00047
49,Fashoda,Upper Nile,7,ID00048
50,Longochuk,Upper Nile,7,ID00049
51,Luakpiny/Nasir,Upper Nile,7,ID00050
52,Maban,Upper Nile,7,ID00051
53,Maiwut,Upper Nile,7,ID00052
54,Malakal,Upper Nile,7,ID00053
55,Manyo,Upper Nile,7,ID00054
56,Melut,Upper Nile,7,ID00055
57,Panyikang,Upper Nile,7,ID00056
58,Renk,Upper Nile,7,ID00057
59,Ulang,Upper Nile,7,ID00058
60,Gogrial East,Warrap,7,ID00059
61,Gogrial West,Warrap,8,ID00060
62,Tonj East,Warrap,8,ID00061
63,Tonj North,Warrap,8,ID00062
64,Tonj South,Warrap,8,ID00063
65,Twic,Warrap,8,ID00064
66,Abyei Region,Abyei Region,0,ID00078
67,Jur River,Western Bahr el Ghazal,9,ID00065
68,Raja,Western Bahr el Ghazal,9,ID00066
69,Wau,Western Bahr el Ghazal,9,ID00067
70,Ezo,Western Equatoria,10,ID00068
71,Ibba,Western Equatoria,10,ID00069
72,Maridi,Western Equatoria,10,ID00070
73,Mundri East,Western Equatoria,10,ID00071
74,Mundri West,Western Equatoria,10,ID00072
75,Mvolo,Western Equatoria,10,ID00073
76,Nagero,Western Equatoria,10,ID00074
77,Nzara,Western Equatoria,10,ID00075
78,Tambura,Western Equatoria,10,ID00076
79,Yambio,Western Equatoria,10,ID00077
