id,name,county_name
1,Bungu,Juba
2,Dolo,Juba
3,Ganji,Juba
4,Gondokoro,Juba
5,Juba Town,Juba
6,Kator,Juba
7,Lirya,Juba
8,Lokiliri,Juba
9,Lobonok,Juba
10,Mangala South,Juba
11,Munuki,Juba
12,Northern Bari,Juba
13,Rejaf,Juba
14,Rokon,Juba
15,Tijor,Juba
16,Wonduruba,Juba
17,Mangala North,Juba
18,Kangapo I,Kajo-keji
19,Kangapo II,Kajo-keji
20,Lire,Kajo-keji
21,Liwolo,Kajo-keji
22,Nyepo,Kajo-keji
23,Kenyi,Lainya
24,Kupera,Lainya
25,Lainya,Lainya
26,Mukaya,Lainya
27,Wuji,Lainya
28,Gulumbi,Morobo
29,Kimba,Morobo
30,Lujulo,Morobo
31,Panyume,Morobo
32,Wudabi,Morobo
33,Gameiza,Terekeka
34,Muni,Terekeka
35,Nyori,Terekeka
36,Reggo,Terekeka
37,Rijong,Terekeka
38,Tali,Terekeka
39,Terekeka,Terekeka
40,Tindilo,Terekeka
41,Tombek,Terekeka
42,Lasu,Yei
43,Mugwo,Yei
44,Otogo,Yei
45,Tore,Yei
46,Yei,Yei
47,Kimotong,Budi
48,Komori,Budi
49,Nauro,Budi
50,Loriyok,Budi
51,Lotukei,Budi
52,Loudo,Budi
53,Nagishot,Budi
54,Napak,Budi
55,Hatire,Ikotos
56,Ikotos,Ikotos
57,Imotong,Ikotos
58,Lomohidang North,Ikotos
59,Lomohidang South,Ikotos
60,Losite,Ikotos
61,Jie,Kapoeta East
62,Katodori,Kapoeta East
63,Kauto,Kapoeta East
64,Lotimor,Kapoeta East
65,Mogos,Kapoeta East
66,Narus,Kapoeta East
67,Natinga,Kapoeta East
68,Chumakori,Kapoeta North
69,Karukomuge,Kapoeta North
70,Lomeyen,Kapoeta North
71,Mosingo,Kapoeta North
72,Najie,Kapoeta North
73,Paringa,Kapoeta North
74,Kapoeta Town,Kapoeta South
75,Longeleya,Kapoeta South
76,Machi One,Kapoeta South
77,Machi Two,Kapoeta South
78,Pwata,Kapoeta South
79,Arihilo,Lafon
80,Burgilo,Lafon
81,Imehejek,Lafon
82,Kurumi,Lafon
83,Lohutok,Lafon
84,Longiro,Lafon
85,Marguna,Lafon
86,Pachidi,Lafon
87,Lobone,Magwi
88,Magwi,Magwi
89,Mugali,Magwi
90,Nimule,Magwi
91,Pageri,Magwi
92,Pajok,Magwi
93,Bur,Torit
94,Hiyala,Torit
95,Himodonge,Torit
96,Ifwotu,Torit
97,Imurok,Torit
98,Kudo,Torit
99,Torit,Torit
100,Alali,Akobo
101,Barmach,Akobo
102,Bilkey,Akobo
103,Buong,Akobo
104,Dengjok,Akobo
105,Diror,Akobo
106,Nyandit,Akobo
107,Walgak,Akobo
108,Ayod,Ayod
109,Kurwai,Ayod
110,Kuach-deng,Ayod
111,Mogok,Ayod
112,Pagil,Ayod
113,Pajiek,Ayod
114,Wau,Ayod
115,Anyidi,Bor South
116,Baidit,Bor South
117,Bor,Bor South
118,Jalle,Bor South
119,Kolnyang,Bor South
120,Makuach,Bor South
121,Alam,Canal/Pigi
122,Atar,Canal/Pigi
123,Belewach,Canal/Pigi
124,Kaldak,Canal/Pigi
125,Korwach,Canal/Pigi
126,Mareng,Canal/Pigi
127,Nyainthokmalual,Canal/Pigi
128,Wunlem,Canal/Pigi
129,Ageer,Duk
130,Dongchak,Duk
131,Padiet,Duk
132,Payuel,Duk
133,Pagak,Duk
134,Panyang,Duk
135,Manajang,Fangak
136,Mareang,Fangak
137,Old Fangak,Fangak
138,Paguir,Fangak
139,Phom,Fangak
140,Chuil,Nyirol
141,Nyambor,Nyirol
142,Pading,Nyirol
143,Pulturuk,Nyirol
144,Thol,Nyirol
145,Waat,Nyirol
146,Boma,Pibor
147,Gumuruk,Pibor
148,Kiziongora,Pibor
149,Lekuangole,Pibor
150,Marow,Pibor
151,Mewun,Pibor
152,Pibor,Pibor
153,Verteth,Pibor
154,Adongo,Pochalla
155,Akiela,Pochalla
156,Burator,Pochalla
157,Omiela,Pochalla
158,Pochalla,Pochalla
159,Ajuong,Twic East
160,Kongor,Twic East
161,Lith,Twic East
162,Nyuak,Twic East
163,Pakeer,Twic East
164,Karam,Uror
165,Motot,Uror
166,Pathai,Uror
167,Payai,Uror
168,Pieri,Uror
169,Puolchuol,Uror
170,Tiam,Uror
171,Uror,Uror
172,Abuyong,Awerial
173,Alel II,Awerial
174,Bun-agok,Awerial
175,Dor,Awerial
176,Magok,Awerial
177,Nile,Awerial
178,Puluk,Awerial
179,Alel I,Awerial
180,Abiriu,Cueibet
181,Citcok,Cueibet
182,Duony,Cueibet
183,Malou Pec,Cueibet
184,Ngap,Cueibet
185,Pagor,Cueibet
186,Ngap 1,Cueibet
187,Amongpiny,Rumbek Centre
188,Jiir,Rumbek Centre
189,Malek 2,Rumbek Centre
190,Matangai,Rumbek Centre
191,Mayom,Rumbek Centre
192,Aduel,Rumbek East
193,Akot,Rumbek East
194,Atiaba,Rumbek East
195,Cueicok,Rumbek East
196,Maleng-agok,Rumbek East
197,Pacong,Rumbek East
198,Paloc,Rumbek East
199,Aloor,Rumbek North
200,Madol,Rumbek North
201,Malueeth,Rumbek North
202,Maper,Rumbek North
203,Mayen,Rumbek North
204,Wun-rieng,Rumbek North
205,Bargel,Wulu
206,Domoloto,Wulu
207,Makundi,Wulu
208,Wulu,Wulu
209,Adior,Yirol East
210,Lekakedu,Yirol East
211,Malek,Yirol East
212,Pagarau,Yirol East
213,Tinagau,Yirol East
214,Yali,Yirol East
215,Abang,Yirol West
216,Aluakluak,Yirol West
217,Anuol,Yirol West
218,Geng-geng,Yirol West
219,Gher,Yirol West
220,Mapuordit,Yirol West
221,Yirol,Yirol West
222,Abul,Aweil Centre
223,Achana,Aweil Centre
224,Aroyo,Aweil Centre
225,Awiil,Aweil Centre
226,Bahr Mayen,Aweil Centre
227,Chel South,Aweil Centre
228,Nyalath,Aweil Centre
229,Baach,Aweil East
230,Madhol,Aweil East
231,Malual-bai,Aweil East
232,Mangar-tong I,Aweil East
233,Mangok,Aweil East
234,Wunlang,Aweil East
235,Yargot,Aweil East
236,Mayom-wel,Aweil East
237,Ariath,Aweil North
238,Malual Centre,Aweil North
239,Malual East,Aweil North
240,Malual North,Aweil North
241,Malual West,Aweil North
242,Ayai,Aweil South
